HOZ,VERT,X,Other,thing,Kind,Worry,Type
154.3437205,10175.72318,0.570780399,5.763,3.312,2.221,5.22,1
141.7847025,10156.19839,0.662431942,5.554,3.333,1.018,4.956,1
122.2851747,10121.48764,0.879310345,5.291,3.337,2.699,4.825,1
107.4126534,10110.64054,0.793103448,5.324,3.379,2.259,4.805,1
183.427762,10186.57029,0.864791289,5.658,3.562,1.355,5.175,1
125.2596789,10130.16533,0.789473684,5.386,3.312,2.462,4.956,1
135.5051936,10150.41326,0.65154265,5.563,3.259,3.586,5.219,1
116.3361662,10122.21078,0.753176044,5.42,3.302,2.7,5,1
199.6222852,10220.55789,0.604355717,6.053,3.465,2.04,5.877,1
193.3427762,10205.37194,0.725045372,5.884,3.505,1.969,5.533,1
154.3437205,10176.44632,0.558076225,5.714,3.242,4.543,5.314,1
113.6921624,10126.54963,0.648820327,5.438,3.201,1.717,5.001,1
109.0651558,10116.42566,0.725045372,5.439,3.199,3.986,4.738,1
105.4296506,10119.31822,0.615245009,5.479,3.156,3.136,4.872,1
104.1076487,10118.59508,0.601633394,5.482,3.114,2.932,4.825,1
132.2001889,10135.22731,0.827586207,5.351,3.333,4.185,4.781,1
112.3701605,10102.68599,1,5.119,3.383,5.234,4.781,1
168.5552408,10169.21492,0.886569873,5.527,3.514,1.599,5.046,1
135.8356941,10130.16533,0.97277677,5.205,3.466,1.767,4.649,1
70.39660057,10083.88434,0.549001815,5.226,3.049,4.102,4.914,1
117.9886686,10143.905,0.456442831,5.658,3.129,3.072,5.176,1
116.3361662,10133.78103,0.581669691,5.52,3.168,2.688,5.219,1
174.8347498,10180.06202,0.823049002,5.618,3.507,0.7651,5.091,1
49.24457035,10059.29756,0.529038113,5.099,2.936,1.415,4.961,1
146.0812087,10169.93806,0.522686025,5.789,3.245,1.791,5.001,1
185.0802644,10198.86368,0.696914701,5.833,3.421,0.903,5.307,1
80.31161473,10097.62401,0.508166969,5.395,3.026,3.373,4.825,1
71.05760151,10091.11574,0.438294011,5.395,2.956,2.504,4.869,1
116.3361662,10127.99591,0.670598911,5.541,3.221,2.754,5.038,1
94.52313503,10116.42566,0.474591652,5.516,3.065,3.531,5.097,1
84.93862134,10101.96285,0.52722323,5.454,2.975,0.8551,5.056,1
161.9452314,10182.95459,0.583484574,5.757,3.371,3.412,5.228,1
115.6751653,10144.62814,0.406533575,5.717,3.186,3.92,5.299,1
110.7176582,10127.27277,0.587114338,5.585,3.15,2.124,5.012,1
147.4032106,10164.15293,0.633393829,5.712,3.328,2.129,5.36,1
182.7667611,10187.29343,0.833938294,5.709,3.485,2.27,5.443,1
185.4107649,10206.81822,0.592558984,5.826,3.464,2.823,5.527,1
214.4948064,10214.77277,0.905626134,5.832,3.683,2.956,5.484,1
139.1406988,10152.58269,0.673321234,5.656,3.288,3.112,5.309,1
121.9546742,10127.27277,0.783121597,5.397,3.298,6.685,5.001,1
97.49763928,10104.13227,0.716878403,5.348,3.156,2.587,5.178,1
96.17563739,10104.13227,0.699637024,5.351,3.158,2.249,5.176,1
84.93862134,10082.43806,0.842105263,5.138,3.201,2.461,4.783,1
162.2757318,10177.16946,0.670598911,5.877,3.396,4.711,5.528,1
149.3862134,10154.02897,0.82123412,5.579,3.462,3.128,5.18,1
106.0906516,10117.87194,0.647005445,5.376,3.155,1.56,4.961,1
157.6487252,10169.93806,0.707803993,5.701,3.393,1.367,5.132,1
145.4202077,10155.47525,0.727767695,5.57,3.377,2.958,5.175,1
